Date,MEI
2018-10,0.52
2018-11,0.33
2018-12,0.18
2019-01,0.09
2019-02,0.5
2019-03,0.76
2019-04,0.3
2019-05,0.23
2019-06,0.35
2019-07,0.3
2019-08,0.32
2019-09,0.16
2019-10,0.31
2019-11,0.47
2019-12,0.36
2020-01,0.24
2020-02,0.26
2020-03,0.13
2020-04,-0.15
2020-05,-0.23
2020-06,-0.68
2020-07,-0.94
2020-08,-0.96
2020-09,-1.15
2020-10,-1.17
2020-11,-1.13
2020-12,-1.14
2021-01,-1.2
2021-02,-0.96
2021-03,-0.79
2021-04,-0.95
2021-05,-1.07
2021-06,-1.05
2021-07,-1.44
2021-08,-1.29
2021-09,-1.37
2021-10,-1.46
2021-11,-1.39
2021-12,-1.2
2022-01,-1.01
2022-02,-0.98
2022-03,-1.31
2022-04,-1.6
2022-05,-1.63
2022-06,-1.9
2022-07,-2.17
2022-08,-1.75
2022-09,-1.73
2022-10,-1.72
2022-11,-1.53
2022-12,-1.27
2023-01,-1.11
2023-02,-0.91
2023-03,-0.76
2023-04,-0.36
2023-05,-0.06
2023-06,0.43
2023-07,0.51
2023-08,0.51
2023-09,0.69
2023-10,0.48
2023-11,0.91
2023-12,1.13
2024-01,0.7
2024-02,0.68
2024-03,0.78
2024-04,0.34
2024-05,0.12
2024-06,-0.24
2024-07,-0.72
2024-08,-0.73
2024-09,-0.65
2024-10,-0.51
2024-11,-0.68
2024-12,-0.91
