,idDataset,nombreConjuntoDatos,fechaPublicacion,fechaActualizacion,inicioDato,finDato,fechaDescarga,urlConexionAPI,urlConjuntoDatos,tipoPublicacion
243,7c8129,Datos soporte del proceso de liquidación por versión y diaria,2023-09-28T19:41:30.647,2026-06-11T21:12:13.387,2013-01-01T00:00:00,2025-12-02T00:00:00,2024-11-07T16:23:23.697,https://www.simem.coPublicData?startDate=2026-07-01&endDate=2026-07-01&datasetId=7c8129,https://www.simem.co/datadetail/7c812905-f895-4555-a91b-9c1b31ffd147,Público
244,E14D70,Magnitud ventas en bolsa nacional en energía,2024-11-07T10:33:56.017,2026-07-01T04:34:59.13,2021-01-01T00:00:00,2026-06-26T00:00:00,,https://www.simem.coPublicData?startDate=2026-07-01&endDate=2026-07-01&datasetId=E14D70,https://www.simem.co/datadetail/e14d7065-b324-472d-9ed4-9d78a91917b8,Público
245,ff027b,Despacho programado recursos de generación,2023-09-30T10:52:26.017,2026-06-26T16:16:53.12,2013-01-01T00:00:00,2026-06-26T00:00:00,2025-05-03T13:44:44.383,https://www.simem.coPublicData?startDate=2026-07-01&endDate=2026-07-01&datasetId=ff027b,https://www.simem.co/datadetail/ff027b64-9896-4844-b827-9dc05f690668,Público
246,7f16cb,Información de Transferencias Internacionales,2023-10-05T16:01:29.07,2026-07-01T08:27:25.673,2013-01-01T00:00:00,2026-06-30T00:00:00,2025-05-01T19:11:07.537,https://www.simem.coPublicData?startDate=2026-07-01&endDate=2026-07-01&datasetId=7f16cb,https://www.simem.co/datadetail/7f16cb67-b253-4565-b1db-a09767be50be,Público
247,385613,Resultados de las Subastas de Reconfiguración,2023-09-28T21:23:17.38,2025-08-20T21:10:41.84,2012-12-01T00:00:00,2027-12-01T00:00:00,2025-04-25T03:06:13.09,https://www.simem.coPublicData?startDate=2026-07-01&endDate=2026-07-01&datasetId=385613,https://www.simem.co/datadetail/3856138a-66b9-427f-bff6-a116dc441a54,Público
248,ea45fe,"Precios y estadísticas de los contratos entre agentes, agrupados por año de suscripción",2023-09-30T09:44:00.963,2026-06-24T07:35:26.923,2013-01-01T00:00:00,2026-05-01T00:00:00,2025-03-27T08:50:32.4,https://www.simem.coPublicData?startDate=2026-07-01&endDate=2026-07-01&datasetId=ea45fe,https://www.simem.co/datadetail/ea45fe88-27fa-4f8f-b55d-a15a9536ff59,Público
249,C35A63,Precio de oferta en el nodo frontera para exportación,2023-09-28T22:45:20.783,2026-07-01T04:37:47.44,2013-01-01T00:00:00,2026-06-28T00:00:00,,https://www.simem.coPublicData?startDate=2026-07-01&endDate=2026-07-01&datasetId=C35A63,https://www.simem.co/datadetail/c35a63bf-a1ad-4a34-9d09-a1dc8f193b7e,Público
250,6B9E0C,Generación ideal internacional Venezuela por recurso planta,2023-09-28T20:27:03.407,2026-07-01T04:33:55.027,2022-05-01T00:00:00,2026-06-28T00:00:00,,https://www.simem.coPublicData?startDate=2026-07-01&endDate=2026-07-01&datasetId=6B9E0C,https://www.simem.co/datadetail/6b9e0c85-e55a-4977-8dad-a29d6f648059,Público
251,7a07ac,Eventos en unidades de Generación,2023-09-30T23:07:26.003,2026-07-01T08:27:31.587,2013-01-01T00:00:00,2026-06-28T00:00:00,2025-03-28T01:28:21.86,https://www.simem.coPublicData?startDate=2026-07-01&endDate=2026-07-01&datasetId=7a07ac,https://www.simem.co/datadetail/7a07ac69-d8dd-409f-9349-a3b7c2458391,Público
252,58E055,Promedio aritmético anual acumulado de la representatividad de participantes del MEM,2023-09-29T14:35:21.903,2026-06-22T23:16:08.263,2023-08-05T00:00:00,2026-05-31T00:00:00,,https://www.simem.coPublicData?startDate=2026-07-01&endDate=2026-07-01&datasetId=58E055,https://www.simem.co/datadetail/58e055de-ccd9-477f-8fda-a431cfcc6939,Público
253,30E8EC,Magnitud ventas transacciones en bolsa en energía,2024-11-07T10:33:56.017,2026-07-01T04:35:40.907,2021-01-01T00:00:00,2026-06-28T00:00:00,,https://www.simem.coPublicData?startDate=2026-07-01&endDate=2026-07-01&datasetId=30E8EC,https://www.simem.co/datadetail/30e8ec9d-a87d-4c63-9102-a450408e747e,Público
254,64eb3f,Disponibilidad Real de las Unidades de Generación del Sistema,2023-09-30T21:26:19.87,2026-07-01T08:29:20.76,2013-01-01T00:00:00,2026-06-30T00:00:00,2025-03-30T18:08:59.16,https://www.simem.coPublicData?startDate=2026-07-01&endDate=2026-07-01&datasetId=64eb3f,https://www.simem.co/datadetail/64eb3fdd-a208-41b9-98fc-a50f1f590c29,Público
255,2926f9,Cargos por uso únicos por nivel de tensión (DtUN),2025-10-09T18:14:19.183,2026-06-26T21:27:44.327,2021-01-01T00:00:00,2026-04-01T00:00:00,,https://www.simem.coPublicData?startDate=2026-07-01&endDate=2026-07-01&datasetId=2926f9,https://www.simem.co/datadetail/2926f9cd-2677-4d51-a24b-a61cd39a80ee,Público
256,860bc8,Duración promedio de los contratos producto de convocatorias del SICEP para el mercado regulado,2023-09-30T07:18:23.033,2026-06-06T14:56:27.723,2023-09-01T00:00:00,2031-05-01T00:00:00,2024-11-11T19:31:47.27,https://www.simem.coPublicData?startDate=2026-07-01&endDate=2026-07-01&datasetId=860bc8,https://www.simem.co/datadetail/860bc8b9-7774-429f-9482-a687830690e4,Público
257,b84962,Disponibilidad asociada con arranque utilizando tecnología térmica gas vapor,2025-09-23T10:48:34.903,2026-07-01T04:28:34.693,2021-01-01T00:00:00,2026-06-28T00:00:00,,https://www.simem.coPublicData?startDate=2026-07-01&endDate=2026-07-01&datasetId=b84962,https://www.simem.co/datadetail/b849623a-8141-4843-a0cb-a6b653d9341e,Público
258,eb6857,Reservas de Energía Energético Mediano Plazo,2023-10-09T19:39:35.887,2026-06-28T19:20:22.457,2022-01-09T00:00:00,2028-06-25T00:00:00,2025-02-20T15:35:13.7,https://www.simem.coPublicData?startDate=2026-07-01&endDate=2026-07-01&datasetId=eb6857,https://www.simem.co/datadetail/eb685797-3577-40aa-9fcb-a6d3a9b1a9c4,Público
259,dac3c5,Precios futuros y estadísticas de los contratos de convocatorias del SICEP para el mercado regulado por comercializador,2023-09-30T09:41:24.683,2026-06-03T08:55:22.92,2023-09-01T00:00:00,2031-05-01T00:00:00,2025-04-04T13:42:41.207,https://www.simem.coPublicData?startDate=2026-07-01&endDate=2026-07-01&datasetId=dac3c5,https://www.simem.co/datadetail/dac3c52e-b3c0-4652-b1f1-a6d83e4083b8,Público
260,82a4d5,Cargo por concepto de remuneración de los planes de pérdidas (CPROG),2026-01-16T12:13:10.753,2026-06-26T21:41:34.523,2021-01-01T00:00:00,2026-04-01T00:00:00,,https://www.simem.coPublicData?startDate=2026-07-01&endDate=2026-07-01&datasetId=82a4d5,https://www.simem.co/datadetail/82a4d504-3f25-40b6-a4c8-a6dc615736d4,Público
261,d6cf36,Cargos por uso en el SDL,2025-10-09T10:33:11.917,2026-06-30T13:32:32.587,2021-01-01T00:00:00,2026-04-01T00:00:00,,https://www.simem.coPublicData?startDate=2026-07-01&endDate=2026-07-01&datasetId=d6cf36,https://www.simem.co/datadetail/d6cf3613-3927-45f0-ab8f-a6e2a9258b9b,Público
262,42d664,Cantidades de energía por comercializador de contratos adjudicados en subastas del Ministerio (MME),2023-09-18T13:04:16.843,2026-06-24T07:32:13.66,2022-01-01T00:00:00,2026-05-01T00:00:00,2025-05-04T21:42:24.09,https://www.simem.coPublicData?startDate=2026-07-01&endDate=2026-07-01&datasetId=42d664,https://www.simem.co/datadetail/42d664ec-56bb-40e3-acac-a745f505172a,Público
